"STUDY (ASN)","PRIOR ASN","STATUS","DETERMINATION","ENTERED DATE","RECEIVED DATE","COMPLETION DATE","EXPIRATION DATE","LATITUDE","LONGITUDE","HORIZONTAL DATUM","SURVEY_ACCURACY","MARKING LIGHTING TYPE","MARKING LIGHTING TYPE OTHER","STRUCTURE NAME","STRUCTURE CITY","STRUCTURE COUNTY NAME","STRUCTURE COUNTY ID","STRUCTURE STATE","NEAREST AIRPORT","DISTANCE FROM AIRPORT","DIRECTION FROM AIRPORT","ON AIRPORT","PROPOSAL DESCRIPTION","LOCATION DESCRIPTION","NOTICE OF","DURATION","DURATION DAYS","DURATION MONTHS","WORK SCHEDULE BEGINNING DATE","WORK SCHEDULE ENDING DATE","DATE BUILT","FCC NUMBER","STRUCTURE TYPE","STRUCTURE TYPE OTHER","AGL HEIGHT DET","AGL HEIGHT DNE","AGL HEIGHT PROPOSED","ELEVATION","AMSL HEIGHT DET","AMSL HEIGHT DNE","AMSL HEIGHT PROPOSED","REPRESENTATIVE NAME ","SPONSOR NAME ","SIGNATURE CONTROL NUMBER ","FREQUENCY_JSON ","DATA_SOURCE"
"07/001","","Active NOTAM","Obstruction","2025-11-13","","","2026-01-31","33 - 20 - 22.34 N","81 - 57 - 12.71 W","","","","","","","","","","AGS (Augusta Rgnl At Bush Fld)","","","","","OBST CRANE (ASN 2025-ASO-188-OE) 332022N0815713W (1.9NM SSE AGS) 337FT (200FT AGL) FLAGGED 250701110","Temporary Obstruction","Temporary","","","2025-07-01","2026-01-31","","","CRANE","","200","","","","","","","","","","","NOTAM"
"05/019","","Active NOTAM","Obstruction","2025-11-13","","","2028-12-31","29 - 57 - 02.88 N","94 - 01 - 14.52 W","","","","","","","","","","BPT (Jack Brooks Rgnl)","","","","","OBST CRANE (ASN UNKNOWN) 295943N0940206W (2.3NM N BPT) 
UNKNOWN (203FT AGL) FLAGGED 2505141443-2812","Temporary Obstruction","Temporary","","","2025-05-14","2028-12-31","","","CRANE","","203","","","","","","","","","","","NOTAM"
"09/007","","Active NOTAM","Obstruction","2025-11-13","","","2026-10-17","35 - 11 - 43.06 N","101 - 40 - 28.53 W","","","","","","","","","","AMA (Rick Husband Amarillo Intl)","","","","","OBST CRANE (ASN 2023-ASW-6595-OE) 351143N1014029W (2.1NM SE AMA) 3763FT (200FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-09-08","2026-10-17","","","CRANE","","200","","","","","","","","","","","NOTAM"
"10/108","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.61 N","85 - 11 - 16.61 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5501-NRA) 405911N0851117W (0.6NM NE FWA) 929FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/109","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.61 N","85 - 11 - 16.09 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5502-NRA) 405911N0851116W (0.6NM NE FWA) 929FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/110","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.21 N","85 - 11 - 16.09 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5503-NRA) 405910N0851116W (0.6NM NE FWA) 929FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/111","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.21 N","85 - 11 - 16.61 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5504-NRA) 405910N0851117W (0.6NM NE FWA) 929FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/112","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.01 N","85 - 11 - 16.61 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5505-NRA) 405910N0851117W (0.6NM NE FWA) 929FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/113","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.02 N","85 - 11 - 16.08 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5506-NRA) 405910N0851116W (0.6NM NE FWA) 929FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/114","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 09.62 N","85 - 11 - 16.08 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5507-NRA) 405910N0851116W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
