"STUDY (ASN)","PRIOR ASN","STATUS","DETERMINATION","ENTERED DATE","RECEIVED DATE","COMPLETION DATE","EXPIRATION DATE","LATITUDE","LONGITUDE","HORIZONTAL DATUM","SURVEY_ACCURACY","MARKING LIGHTING TYPE","MARKING LIGHTING TYPE OTHER","STRUCTURE NAME","STRUCTURE CITY","STRUCTURE COUNTY NAME","STRUCTURE COUNTY ID","STRUCTURE STATE","NEAREST AIRPORT","DISTANCE FROM AIRPORT","DIRECTION FROM AIRPORT","ON AIRPORT","PROPOSAL DESCRIPTION","LOCATION DESCRIPTION","NOTICE OF","DURATION","DURATION DAYS","DURATION MONTHS","WORK SCHEDULE BEGINNING DATE","WORK SCHEDULE ENDING DATE","DATE BUILT","FCC NUMBER","STRUCTURE TYPE","STRUCTURE TYPE OTHER","AGL HEIGHT DET","AGL HEIGHT DNE","AGL HEIGHT PROPOSED","ELEVATION","AMSL HEIGHT DET","AMSL HEIGHT DNE","AMSL HEIGHT PROPOSED","REPRESENTATIVE NAME ","SPONSOR NAME ","SIGNATURE CONTROL NUMBER ","FREQUENCY_JSON ","DATA_SOURCE"
"10/115","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 09.62 N","85 - 11 - 16.60 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5508-NRA) 405910N0851117W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/116","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 09.87 N","85 - 11 - 15.45 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5509-NRA) 405910N0851115W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/117","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 09.88 N","85 - 11 - 13.91 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5510-NRA) 405910N0851114W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/118","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.95 N","85 - 11 - 12.53 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5511-NRA) 405911N0851113W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/119","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 18.28 N","85 - 11 - 00.76 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5522-NRA) 405918N0851101W (0.8NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/120","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 18.30 N","85 - 11 - 04.67 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5523-NRA) 405918N0851105W (0.8NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/121","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.68 N","85 - 11 - 12.15 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5512-NRA) 405911N0851112W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/122","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 09.49 N","85 - 11 - 13.69 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5513-NRA) 405909N0851114W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/123","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 09.48 N","85 - 11 - 15.44 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5514-NRA) 405909N0851115W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/124","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.60 N","85 - 11 - 12.98 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5515-NRA) 405911N0851113W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/125","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.88 N","85 - 11 - 12.62 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5516-NRA) 405911N0851113W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/126","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 13.81 N","85 - 11 - 11.68 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5520-NRA) 405914N0851112W (0.7NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/128","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.60 N","85 - 11 - 12.98 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5519-NRA) 405911N0851113W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/129","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.32 N","85 - 11 - 12.61 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5518-NRA) 405910N0851113W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"10/130","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-31","40 - 59 - 10.61 N","85 - 11 - 12.25 W","","","","","","","","","","FWA (Fort Wayne Intl)","","","","","OBST CRANE (ASN 2023-AGL-5517-NRA) 405911N0851112W (0.6NM NE FWA) 928FT (130FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-10-29","2026-05-31","","","CRANE","","130","","","","","","","","","","","NOTAM"
"04/004","","Active NOTAM","Obstruction","2025-11-13","","","2026-04-30","26 - 13 - 09.33 N","80 - 09 - 21.75 W","","","","","","","","","","FXE (Fort Lauderdale Exec)","","","","","OBST CRANE (ASN 2024-ASO-16877-OE) 261309N0800922W (1.6NM NNE FXE) 272FT (260FT AGL) FLAGGED AND LGT","Temporary Obstruction","Temporary","","","2025-04-02","2026-04-30","","","CRANE","","260","","","","","","","","","","","NOTAM"
"02/004","","Active NOTAM","Obstruction","2025-11-13","","","2026-03-27","26 - 11 - 56.20 N","80 - 11 - 36.47 W","","","","","","","","","","FXE (Fort Lauderdale Exec)","","","","","OBST CRANE (ASN 2023-ASO-27083-OE) 261156N0801136W (1.2NM W FXE) 124FT (120FT AGL) FLAGGED AND LGTD ","Temporary Obstruction","Temporary","","","2024-02-13","2026-03-27","","","CRANE","","120","","","","","","","","","","","NOTAM"
"10/105","","Active NOTAM","Obstruction","2025-11-13","","","2025-12-31","47 - 36 - 04.67 N","117 - 33 - 03.74 W","","","","","","","","","","GEG (Spokane Intl)","","","","","OBST CRANE (ASN 2024-ANM-4928-OE) 473605N1173304W (1.2NM SSW GEG) 2559FT (140FT AGL) FLAGGED AND LGT","Temporary Obstruction","Temporary","","","2025-10-24","2025-12-31","","","CRANE","","140","","","","","","","","","","","NOTAM"
"10/054","","Active NOTAM","Obstruction","2025-11-13","","","2025-12-31","47 - 37 - 26.36 N","117 - 32 - 19.60 W","","","","","","","","","","GEG (Spokane Intl)","","","","","OBST CRANE (ASN 2022-ANM-1071-NRA) 473726N1173220W (0.3NM NNW GEG) 2570FT (215FT AGL) FLAGGED AND LG","Temporary Obstruction","Temporary","","","2025-10-20","2025-12-31","","","CRANE","","215","","","","","","","","","","","NOTAM"
"07/053","","Active NOTAM","Obstruction","2025-11-13","","","2026-07-29","39 - 31 - 57.01 N","104 - 52 - 05.09 W","","","","","","","","","","APA (Centennial)","","","","","OBST CRANE (ASN 2025-ANM-3695-OE) 393157N1045205W (2.4NM SSW APA) 6194FT (197FT AGL) FLAGGED 2507281","Temporary Obstruction","Temporary","","","2025-07-28","2026-07-29","","","CRANE","","197","","","","","","","","","","","NOTAM"
"10/087","","Active NOTAM","Obstruction","2025-11-13","","","2026-01-01","39 - 34 - 12.36 N","104 - 50 - 57.48 W","","","","","","","","","","APA (Centennial)","","","","","OBST CRANE (ASN UNKNOWN) 393311N1045255W (1.05NM WSW APA) 
UNKNOWN (97FT AGL) FLAGGED AND LGTD 2511","Temporary Obstruction","Temporary","","","2025-11-04","2026-01-01","","","CRANE","","97","","","","","","","","","","","NOTAM"
"02/012","","Active NOTAM","Obstruction","2025-11-13","","","2026-05-29","26 - 08 - 16.01 N","81 - 46 - 49.77 W","","","","","","","","","","APF (Naples Muni)","","","","","OBST CRANE (ASN 2024-ASO-15988-OE) 260816N0814650W (0.9NM SSW APF) 246FT (239FT AGL) FLAGGED AND LGT","Temporary Obstruction","Temporary","","","2025-02-12","2026-05-29","","","CRANE","","239","","","","","","","","","","","NOTAM"
"08/011","","Active NOTAM","Obstruction","2025-11-13","","","2026-03-31","26 - 08 - 42.89 N","81 - 47 - 28.95 W","","","","","","","","","","APF (Naples Muni)","","","","","OBST CRANE (ASN 2025-ASO-16766-OE) 260843N0814729W (1.0NM WSW APF) 140FT (134FT AGL) FLAGGED AND LGT","Temporary Obstruction","Temporary","","","2025-08-06","2026-03-31","","","CRANE","","134","","","","","","","","","","","NOTAM"
"06/100","","Active NOTAM","Obstruction","2025-11-13","","","2026-01-15","26 - 10 - 19.22 N","81 - 45 - 29.71 W","","","","","","","","","","APF (Naples Muni)","","","","","OBST CRANE (ASN 2024-ASO-25253-OE) 261019N0814530W (1.5NM NE APF) 124FT (112FT AGL) FLAGGED AND LGTD","Temporary Obstruction","Temporary","","","2025-06-26","2026-01-15","","","CRANE","","112","","","","","","","","","","","NOTAM"
"10/236","","Active NOTAM","Obstruction","2025-11-13","","","2025-11-28","45 - 46 - 39.36 N","111 - 09 - 07.20 W","","","","","","","","","","BZN (Bozeman Yellowstone Intl)","","","","","OBST CRANE (ASN UNKNOWN) 454510N1111112W (2NM SW BZN) 
UNKNOWN (190FT AGL) FLAGGED 2510171446-25112","Temporary Obstruction","Temporary","","","2025-10-17","2025-11-28","","","CRANE","","190","","","","","","","","","","","NOTAM"
